平安银行,12.630,12.650,12.490,12.640,12.440,12.480,12.490,37976975,476048516.990,61000,12.480,79300,12.470,125800,12.460,151900,12.450,169400,12.440,8800,12.490,123918,12.500,137000,12.510,178648,12.520,129100,12.530,2019-06-12,11:30:00,00
万 科Ａ,28.240,28.330,27.900,28.290,27.810,27.890,27.900,18315037,511731345.140,4900,27.890,14500,27.880,10600,27.870,22400,27.860,22400,27.850,9300,27.900,21000,27.910,10300,27.920,10100,27.930,2600,27.940,2019-06-12,11:30:00,00
PT金田A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-05-31,11:45:02,-3
国农科技,21.510,21.510,21.660,21.980,21.380,21.660,21.710,337300,7305911.000,900,21.660,2200,21.640,700,21.620,18500,21.600,500,21.570,600,21.710,200,21.730,1000,21.740,4100,21.760,20600,21.770,2019-06-12,11:30:00,00
世纪星源,2.850,2.850,2.860,2.900,2.830,2.850,2.860,4948017,14197257.270,15900,2.850,170900,2.840,118500,2.830,73400,2.820,112500,2.810,56293,2.860,124000,2.870,126900,2.880,278800,2.890,255239,2.900,2019-06-12,11:30:00,00
深振业Ａ,5.610,5.650,5.580,5.780,5.580,5.580,5.610,5318270,29986010.390,163800,5.580,67000,5.570,51000,5.560,58400,5.550,23100,5.540,4100,5.610,5000,5.620,38400,5.630,26200,5.640,28000,5.650,2019-06-12,11:30:00,00
全新好,6.970,6.960,7.200,7.280,6.960,7.190,7.200,4347934,31147883.560,13200,7.190,15200,7.180,18300,7.170,10200,7.160,31800,7.150,20890,7.200,81200,7.210,22650,7.220,19700,7.230,15500,7.240,2019-06-12,11:30:00,00
神州高铁,3.840,3.830,3.800,3.860,3.790,3.800,3.810,12660805,48389839.590,13400,3.800,565405,3.790,575000,3.780,480200,3.770,228100,3.760,160800,3.810,107000,3.820,239300,3.830,364672,3.840,604100,3.850,2019-06-12,11:30:00,00
中国宝安,5.730,5.730,5.720,5.820,5.700,5.720,5.730,13701930,78830464.690,27495,5.720,152974,5.710,200900,5.700,86900,5.690,110700,5.680,50100,5.730,53500,5.740,133200,5.750,49800,5.760,65500,5.770,2019-06-12,11:30:00,00
*ST美丽,3.560,3.570,3.470,3.570,3.400,3.460,3.470,3546240,12409497.800,12700,3.460,6400,3.450,13200,3.440,111000,3.430,121900,3.420,24100,3.470,101100,3.480,296100,3.490,14500,3.500,5000,3.510,2019-06-12,11:30:00,00
深物业A,9.570,9.630,9.540,9.740,9.510,9.540,9.560,1283442,12331164.640,17300,9.540,20700,9.530,29600,9.520,30500,9.510,96200,9.500,15200,9.560,1500,9.570,5800,9.580,5900,9.600,15700,9.610,2019-06-12,11:30:00,00
南 玻Ａ,4.630,4.720,4.640,4.710,4.610,4.640,4.650,10391371,48334995.910,51200,4.640,107000,4.630,148400,4.620,281550,4.610,321400,4.600,195067,4.650,101315,4.660,59500,4.670,161400,4.680,129812,4.690,2019-06-12,11:30:00,00
*ST石化A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-05-31,11:45:02,-3
沙河股份,9.800,9.810,9.710,9.850,9.640,9.710,9.720,1743636,16995157.230,1900,9.710,11500,9.700,49400,9.690,30300,9.680,11300,9.670,24700,9.720,5400,9.730,10000,9.740,22800,9.750,6000,9.760,2019-06-12,11:30:00,00
PT中浩A,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-05-31,11:45:02,-3
深康佳Ａ,4.350,4.380,4.320,4.380,4.290,4.320,4.330,9007600,39059202.000,61100,4.320,128600,4.310,316500,4.300,202400,4.290,194800,4.280,28300,4.330,70100,4.340,46000,4.350,95100,4.360,73100,4.370,2019-06-12,11:30:00,00
深中华A,4.310,4.320,4.750,4.750,4.310,4.750,0.000,11620664,55073694.350,4317600,4.750,32700,4.740,52000,4.730,42900,4.720,130015,4.710,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-06-12,11:30:00,00
*ST神城,1.540,1.470,1.440,1.540,1.400,1.430,1.440,39262403,57966213.630,339700,1.430,1049617,1.420,1517200,1.410,3348500,1.400,0,0.000,439100,1.440,281700,1.450,245900,1.460,336700,1.470,172800,1.480,2019-06-12,11:30:00,00
深粮控股,7.200,7.300,7.350,7.370,7.190,7.330,7.350,4368412,31747636.560,21400,7.330,5600,7.320,5000,7.310,16000,7.300,15000,7.290,700,7.350,28200,7.360,32800,7.370,43300,7.380,34767,7.390,2019-06-12,11:30:00,00
深华发Ａ,10.950,10.900,11.000,11.140,10.810,10.950,11.000,472402,5203373.990,1200,10.950,4400,10.910,5700,10.900,5000,10.890,7400,10.880,11800,11.000,4300,11.010,6900,11.020,2000,11.030,1000,11.040,2019-06-12,11:30:00,00
深科技,8.390,8.450,8.440,8.500,8.350,8.440,8.450,13167246,110896672.310,9100,8.440,7800,8.430,23000,8.420,14300,8.410,34900,8.400,38000,8.450,65200,8.460,57227,8.470,131200,8.480,133866,8.490,2019-06-12,11:30:00,00
深赤湾Ａ,0.000,16.460,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2018-12-25,16:34:03,03
深天地Ａ,13.290,13.300,13.380,13.420,13.210,13.370,13.380,1297100,17329135.000,13200,13.370,3200,13.360,2300,13.350,1900,13.340,4000,13.330,750501,13.380,3200,13.390,7900,13.400,3300,13.410,3000,13.420,2019-06-12,11:30:00,00
招商地产,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-05-31,11:45:02,-3
特 力Ａ,20.610,20.700,20.970,21.700,20.500,20.960,20.970,4566705,96265699.190,1100,20.960,1700,20.950,2845,20.940,12300,20.930,23800,20.920,1300,20.970,1000,20.980,1445,20.990,7560,21.000,2835,21.020,2019-06-12,11:30:00,00
飞亚达Ａ,7.750,7.750,7.720,7.790,7.710,7.710,7.720,1096001,8487944.410,19300,7.710,42800,7.700,51700,7.690,45700,7.680,35600,7.670,3400,7.720,16900,7.730,16800,7.740,16400,7.750,10234,7.760,2019-06-12,11:30:00,00
深圳能源,6.050,6.070,6.000,6.120,5.980,5.990,6.000,4154962,25065673.230,800,5.990,55359,5.980,106300,5.970,141200,5.960,102400,5.950,53748,6.000,5000,6.010,14000,6.020,22200,6.030,23400,6.040,2019-06-12,11:30:00,00
国药一致,41.050,41.100,40.840,41.090,40.510,40.840,40.850,807120,32860404.800,200,40.840,3100,40.820,500,40.810,100,40.800,1600,40.780,2200,40.850,500,40.860,500,40.870,500,40.880,1600,40.890,2019-06-12,11:30:00,00
深深房Ａ,0.000,10.970,0.000,0.000,0.000,0.000,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,2019-06-12,11:30:00,03
富奥股份,4.850,4.840,4.800,4.850,4.790,4.800,4.810,992408,4782258.560,10200,4.800,31400,4.790,25000,4.780,14500,4.770,23200,4.760,215320,4.810,7400,4.820,14100,4.830,68706,4.840,25500,4.850,2019-06-12,11:30:00,00
大悦城,6.380,6.370,6.300,6.380,6.260,6.290,6.300,5717900,36169935.730,100,6.290,87500,6.280,101200,6.270,56300,6.260,82800,6.250,6700,6.300,24300,6.310,9400,6.320,20900,6.330,57300,6.340,2019-06-12,11:30:00,00
深桑达Ａ,9.620,9.720,9.540,9.690,9.510,9.540,9.550,1910603,18286495.260,18700,9.540,44600,9.530,45300,9.520,78800,9.510,84300,9.500,1100,9.550,9500,9.560,1000,9.570,5160,9.590,3732,9.600,2019-06-12,11:30:00,00
新都退,1.670,1.630,1.700,1.770,1.590,1.690,1.700,38804227,65221874.000,744626,1.690,533074,1.680,87264,1.670,1102700,1.660,104800,1.650,292040,1.700,555838,1.710,171531,1.720,268307,1.730,68800,1.740,2017-07-06,16:35:03,00
